合約委託時間,UID,合約交易對,倉位類型,槓桿倍數,委託單價,保證金金額,成交单价,匹配Taker委託單號,匹配Taker持倉單號,newAccount,toponeUID
2024-04-16 05:24:10,99132001,ETHUSDT,开多,100,3139.8762,95.42761,3073.01,10999978367669239808,2999978368034144256,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 05:25:10,26704528,ETHUSDT,开空,100,3135.5208,30.7301,3082.6,10999979308057362432,2999978368034144256,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 05:29:00,26704528,ETHUSDT,平空,100,--,30.826,3090.99,10999983186396053504,2999978081085030400,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 05:44:20,99132001,ETHUSDT,平多,100,--,95.82069,3091.65,10999983696310173696,2999983696582803456,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 05:46:20,99132001,ETHUSDT,开空,100,3153.483,98.9328,3099.67,10999986214121504768,2999983696582803456,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 05:56:20,99132001,ETHUSDT,平空,100,--,99.18944,3103.48,10999986234845560832,1999986234988167168,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 05:56:30,99132001,ETHUSDT,开空,100,3165.5496,99.31136,3097.4,10999988751344074752,1999986234988167168,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:06:30,99132001,ETHUSDT,平空,100,--,99.1165451,3097.39,10999988751344074752,1999986234988167168,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:06:30,99132001,ETHUSDT,开空,100,3159.7356,99.1289258,3097.76,10999988772793745408,1999988772948934656,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:16:30,99132001,ETHUSDT,平空,100,--,98.82432,3088.26,10999991289673940992,1999988772948934656,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:16:40,99132001,ETHUSDT,开空,100,3153.3708,98.92928,3091.54,10999991321630343168,1999991321768755200,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:26:40,99132001,ETHUSDT,平空,100,--,99.0992,3096.85,10999993838409875456,1999991321768755200,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:26:50,99132001,ETHUSDT,开空,100,3159.501,99.1216,3097.55,10999993859461087232,2999993859624665088,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:36:50,99132001,ETHUSDT,开空,100,3177.5142,99.6866522,3115.19,10999996397493157888,1999996397660930048,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:36:50,99132001,ETHUSDT,平空,100,--,99.68768,3115.24,10999996376320311296,2999993859624665088,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 06:41:50,99132001,ETHUSDT,平空,100,--,99.93024,3122.82,10999997635391651840,1999996397660930048,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 12:45:40,99132001,ETHUSDT,开空,100,3069.6594,72.22728,3009.47,101000089208624250880,21000089208750080000,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 12:55:40,99132001,ETHUSDT,平空,100,--,72.37992,3015.83,101000091725244399616,21000089208750080000,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 15:32:20,99132001,ETHUSDT,开多,100,3150.2598,64.85829,3088.49,101000131152914153472,11000131153010622464,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 16:06:30,99132001,ETHUSDT,平多,100,--,65.07858,3098.98,101000139757474283520,11000131153010622464,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 18:19:00,99132001,ETHUSDT,开空,100,3131.3898,70.60977,3069.99,101000173084356902912,11000173084537257984,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 18:31:30,99132001,ETHUSDT,平空,100,--,69.3105,3013.5,101000176228444930048,11000173084537257984,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 19:51:40,99132001,ETHUSDT,开多,100,3144.1602,110.97036,3082.51,101000196425667051520,11000196426841456640,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 20:18:10,99132001,ETHUSDT,平多,100,--,110.35368,3065.38,101000203097986826240,11000196426841456640,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 23:57:20,26704528,ETHUSDT,开空,100,3080.9916,0.302058,3020.58,101000258250244882432,21000258250647535616,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-17 00:01:40,26704528,ETHUSDT,平空,100,--,0.30118,3011.8,101000259332417257472,21000258250647535616,AnalogBot1717724855@mailnesia.com,OOOOOOOT
